OriginCenter,Week,Latitude,Longitude,Production,Transfer,Sales
CENTRO 1,1,-1.3,-47.9,0,0,128.32
CENTRO 1,2,-1.3,-47.9,0,0,213.84
CENTRO 1,3,-1.3,-47.9,0,0,213.84
CENTRO 1,4,-1.3,-47.9,0,0,299.43
CENTRO 10,1,-22.22,-45.91,600,600,0
CENTRO 10,2,-22.22,-45.91,599.99,366.4,0
CENTRO 10,3,-22.22,-45.91,600,648,0
CENTRO 10,4,-22.22,-45.91,420.4,606,0
CENTRO 12,1,-8.17,-34.94,0,0,373.17
CENTRO 12,2,-8.17,-34.94,0,0,454.91
CENTRO 12,3,-8.17,-34.94,0,0,452.25
CENTRO 12,4,-8.17,-34.94,0,0,378.4
CENTRO 13,1,-22.82,-43.35,0,0,470.35
CENTRO 13,2,-22.82,-43.35,0,0,1059.47
CENTRO 13,3,-22.82,-43.35,0,0,999.08
CENTRO 13,4,-22.82,-43.35,0,0,1603.19
CENTRO 14,1,-12.96,-38.51,4344.99,843.82,3278.47
CENTRO 14,2,-12.96,-38.51,4128.78,355.6,3435.53
CENTRO 14,3,-12.96,-38.51,4289.9,433.9,3352.05
CENTRO 14,4,-12.96,-38.51,3256,671.99,3559.26
CENTRO 2,1,-24.99,-53.47,2375.29,2307.83,0
CENTRO 2,2,-24.99,-53.47,1396.89,1121,0
CENTRO 2,3,-24.99,-53.47,1638.91,1645.1,0
CENTRO 2,4,-24.99,-53.47,1854.25,1891.39,0
CENTRO 3,1,-3.72,-38.47,6106.66,1982.18,3818.57
CENTRO 3,2,-3.72,-38.47,6027.77,872.03,4217.09
CENTRO 3,3,-3.72,-38.47,5491.59,795.55,4394.95
CENTRO 3,4,-3.72,-38.47,5064.21,521.52,4905.34
CENTRO 5,1,-16.8,-49.26,0,0,196.1
CENTRO 5,2,-16.8,-49.26,0,0,332.7
CENTRO 5,3,-16.8,-49.26,0,0,331.62
CENTRO 5,4,-16.8,-49.26,0,0,460.67
CENTRO 6,1,-23.47,-46.53,0,0,7.74
CENTRO 6,2,-23.47,-46.53,0,0,16.46
CENTRO 6,3,-23.47,-46.53,0,0,18.49
CENTRO 6,4,-23.47,-46.53,0,0,23.34
CENTRO 7,1,-23.3,-51.2,3832.07,3932.69,1927.52
CENTRO 7,2,-23.3,-51.2,4187.96,1058.99,3522.58
CENTRO 7,3,-23.3,-51.2,4494.75,2083.59,3959.02
CENTRO 7,4,-23.3,-51.2,3180.78,507.71,5352.36
CENTRO 8,1,-9.66,-35.72,0,0,59.39
CENTRO 8,2,-9.66,-35.72,0,0,55.71
CENTRO 8,3,-9.66,-35.72,0,0,56.26
CENTRO 8,4,-9.66,-35.72,0,0,67.39
CENTRO 9,1,-25.14,-50.15,3252.68,2735.27,833.27
CENTRO 9,2,-25.14,-50.15,3296.77,1560.96,1044.3
CENTRO 9,3,-25.14,-50.15,2981.24,1491.99,1176.23
CENTRO 9,4,-25.14,-50.15,0,149.87,1215.22