OriginCenter,LatitudeOrigin,LongitudeOrigin,DestinationCenter,LatitudeDestination,LongitudeDestination
CENTRO 1,-1.3,-47.9,CENTRO 10,-22.22,-45.91
CENTRO 1,-1.3,-47.9,CENTRO 12,-8.17,-34.94
CENTRO 10,-22.22,-45.91,CENTRO 14,-12.96,-38.51
CENTRO 10,-22.22,-45.91,CENTRO 8,-9.66,-35.72
CENTRO 13,-22.82,-43.35,CENTRO 14,-12.96,-38.51
CENTRO 13,-22.82,-43.35,CENTRO 3,-3.72,-38.47
CENTRO 13,-22.82,-43.35,CENTRO 7,-23.3,-51.2
CENTRO 14,-12.96,-38.51,CENTRO 2,-24.99,-53.47
CENTRO 2,-24.99,-53.47,CENTRO 9,-25.14,-50.15
CENTRO 2,-24.99,-53.47,CENTRO 1,-1.3,-47.9
CENTRO 3,-3.72,-38.47,CENTRO 14,-12.96,-38.51
CENTRO 3,-3.72,-38.47,CENTRO 6,-23.47,-46.53
CENTRO 5,-16.8,-49.26,CENTRO 1,-1.3,-47.9
CENTRO 5,-16.8,-49.26,CENTRO 10,-22.22,-45.91
CENTRO 5,-16.8,-49.26,CENTRO 12,-8.17,-34.94
CENTRO 5,-16.8,-49.26,CENTRO 13,-22.82,-43.35
CENTRO 5,-16.8,-49.26,CENTRO 2,-24.99,-53.47
CENTRO 5,-16.8,-49.26,CENTRO 3,-3.72,-38.47
CENTRO 5,-16.8,-49.26,CENTRO 6,-23.47,-46.53
CENTRO 5,-16.8,-49.26,CENTRO 7,-23.3,-51.2
CENTRO 5,-16.8,-49.26,CENTRO 8,-9.66,-35.72
CENTRO 5,-16.8,-49.26,CENTRO 9,-25.14,-50.15
CENTRO 6,-23.47,-46.53,CENTRO 9,-25.14,-50.15
CENTRO 6,-23.47,-46.53CENTRO 5,-16.8,-49.26
CENTRO 7,-23.3,-51.2,CENTRO 10,-22.22,-45.91
CENTRO 7,-23.3,-51.2,CENTRO 6,-23.47,-46.53
CENTRO 8,-9.66,-35.72,CENTRO 7,-23.3,-51.2
CENTRO 9,-25.14,-50.15,CENTRO 8,-9.66,-35.72